dataset,n_estimators,train_error,test_error
adult,1,0.23927008420136664,0.23932848807452145
adult,5,0.16397512348680676,0.1631692087214659
adult,10,0.15867734752898421,0.1578462483365749
adult,15,0.157986333273616,0.15712969597707027
adult,20,0.15391702710311472,0.1529327464428294
adult,25,0.15350753717400767,0.1516020063466066
adult,30,0.15273974355693187,0.15047599549595658
adult,35,0.15046195582627386,0.14822397379465657
adult,40,0.1489775548332608,0.14832633841744292
adult,45,0.14756993320195533,0.1462790459617156
adult,50,0.14700688454943311,0.1447435766199201
adult,55,0.1470836639111407,0.14556249360221107
adult,60,0.14659739462032606,0.1434128365236974
adult,65,0.14659739462032606,0.14402702426041558
adult,70,0.1455480766769892,0.1445388473743474
adult,75,0.1458807872443887,0.14505067048827924
adult,80,0.14547129731528163,0.14484594124270656
adult,85,0.14542011107414332,0.14433411812877472
adult,90,0.14488265554219026,0.14320810727812472
adult,95,0.14480587618048268,0.14331047190091106
adult,100,0.1445499449747908,0.1426962841641929
adult,105,0.14406367568397616,0.14259391954140654
adult,110,0.1444731656130832,0.14279864878697923
adult,115,0.1436541857548691,0.14146790869075643
adult,120,0.14375655823714584,0.14157027331354288
adult,125,0.14375655823714584,0.14157027331354288
adult,130,0.14370537199600752,0.14146790869075643
adult,135,0.143910116960561,0.14187736718190191
adult,140,0.14370537199600752,0.14146790869075643
adult,145,0.14367977887543826,0.14136554406797008
adult,150,0.14367977887543826,0.1409560855768246
adult,155,0.143782151357715,0.14157027331354288
adult,160,0.1436541857548691,0.14167263793632923
adult,165,0.1436541857548691,0.1409560855768246
adult,170,0.14398689632226858,0.14146790869075643
adult,175,0.14324469582576205,0.14064899170846556
adult,180,0.14421723440739131,0.1420820964274747
adult,185,0.14426842064852963,0.14126317944518374
adult,190,0.14375655823714584,0.14157027331354288
adult,195,0.14380774447828426,0.14105845019961105
adult,200,0.14362859263429995,0.1409560855768246
