dataset,n_estimators,train_error,test_error
covertype,1,0.363,0.371
covertype,5,0.363,0.371
covertype,10,0.34662499999999996,0.353
covertype,15,0.36975,0.37549999999999994
covertype,20,0.364625,0.37549999999999994
covertype,25,0.39825,0.405
covertype,30,0.36475,0.368
covertype,35,0.351375,0.362
covertype,40,0.34675,0.354
covertype,45,0.351,0.361
covertype,50,0.371375,0.378
covertype,55,0.38787499999999997,0.39249999999999996
covertype,60,0.39049999999999996,0.38749999999999996
covertype,65,0.38325,0.38749999999999996
covertype,70,0.37975000000000003,0.38149999999999995
covertype,75,0.371,0.373
covertype,80,0.38549999999999995,0.38549999999999995
covertype,85,0.36950000000000005,0.374
covertype,90,0.379,0.38549999999999995
covertype,95,0.41274999999999995,0.4205
covertype,100,0.398875,0.40700000000000003
covertype,105,0.40625,0.4145
covertype,110,0.38187499999999996,0.38649999999999995
covertype,115,0.366,0.364
covertype,120,0.37725,0.378
covertype,125,0.359375,0.378
covertype,130,0.36,0.36950000000000005
covertype,135,0.395875,0.4115
covertype,140,0.365,0.377
covertype,145,0.367375,0.376
covertype,150,0.370375,0.37949999999999995
covertype,155,0.41125,0.4155
covertype,160,0.40825,0.4205
covertype,165,0.40900000000000003,0.42100000000000004
covertype,170,0.40512499999999996,0.42100000000000004
covertype,175,0.39249999999999996,0.4
covertype,180,0.39175000000000004,0.401
covertype,185,0.4185,0.4285
covertype,190,0.42225,0.43400000000000005
covertype,195,0.4235,0.4395
covertype,200,0.41900000000000004,0.4405
