dataset,max_depth,test_accuracy,oob_accuracy,oob_coverage
adult,1,0.7606715119254785,0.7607299157986334,1.0
adult,2,0.7666086600470877,0.7685102244516674,1.0
adult,3,0.7986487869792199,0.7959460497018401,1.0
adult,4,0.8283345275872659,0.8255572902003941,1.0
adult,5,0.8393899068481933,0.8351547104138407,1.0
adult,6,0.8442010441191524,0.8431653571519976,1.0
adult,7,0.8467601596888116,0.8472090702019297,1.0
adult,8,0.8527996724332071,0.8514319350958462,1.0
adult,9,0.8551540587572934,0.8541703989967496,1.0
adult,10,0.8580202681953117,0.8561922555217157,1.0
adult,11,0.860067560651039,0.8571136078622066,1.0
adult,12,0.8612959361244754,0.8590074987843268,1.0
adult,13,0.8627290408434845,0.8599032580042485,1.0
adult,14,0.8640597809397073,0.860235968571648,1.0
adult,15,0.8633432285802027,0.8599544442453868,1.0
adult,16,0.86539052103593,0.8608502034653085,1.0
adult,17,0.8656976149042891,0.8609525759475853,1.0
adult,18,0.86651653188658,0.8616947764440919,1.0
adult,19,0.86764254273723,0.8620530801320605,1.0
adult,20,0.8656976149042891,0.8618227420469378,1.0
