dataset,n_estimators,test_accuracy,oob_accuracy,oob_coverage
adult,1,0.8366260620329614,0.8295311406578026,0.3657256929337394
adult,10,0.8623195823523391,0.848381425173234,0.9898395311340312
adult,20,0.8654928856587163,0.8583092319111362,0.9999488137588616
adult,30,0.8657999795270754,0.8612596933944155,1.0
adult,40,0.8663118026410073,0.8616179970823843,1.0
adult,50,0.8671307196232982,0.8630512118342589,1.0
adult,60,0.8669259903777254,0.8621298594937681,1.0
adult,70,0.8679496366055891,0.8634095155222277,1.0
adult,80,0.8687685535878801,0.8635630742456428,1.0
adult,90,0.8686661889650936,0.8641005297775958,1.0
adult,100,0.8685638243423073,0.8642796816215801,1.0
adult,110,0.8684614597195209,0.8640749366570266,1.0
adult,120,0.8688709182106664,0.8647403577918256,1.0
adult,130,0.8692803767018119,0.8649195096358099,1.0
adult,140,0.8689732828334528,0.8647403577918256,1.0
adult,150,0.8692803767018119,0.8645612059478412,1.0
adult,160,0.8688709182106664,0.8644844265861337,1.0
adult,170,0.8687685535878801,0.8645867990684104,1.0
adult,180,0.8681543658511618,0.8642796816215801,1.0
adult,190,0.8688709182106664,0.8644588334655644,1.0
adult,200,0.8684614597195209,0.8644332403449952,1.0
