dataset,max_depth,test_accuracy,oob_accuracy,oob_coverage
covertype,1,0.513,0.4643097643097643,1.0
covertype,2,0.6385,0.5558922558922559,1.0
covertype,3,0.655,0.6029180695847363,1.0
covertype,4,0.674,0.6398428731762065,1.0
covertype,5,0.682,0.6514029180695847,1.0
covertype,6,0.695,0.6647586980920315,1.0
covertype,7,0.703,0.6845117845117845,1.0
covertype,8,0.715,0.7042648709315376,1.0
covertype,9,0.7315,0.7216610549943884,1.0
covertype,10,0.741,0.7393939393939394,1.0
covertype,11,0.7545,0.7509539842873176,1.0
covertype,12,0.753,0.7627384960718294,1.0
covertype,13,0.758,0.7694725028058361,1.0
covertype,14,0.7645,0.7758698092031425,1.0
covertype,15,0.7655,0.7858585858585858,1.0
covertype,16,0.7735,0.7931537598204265,1.0
covertype,17,0.7775,0.7986531986531986,1.0
covertype,18,0.78,0.8010101010101011,1.0
covertype,19,0.7805,0.8039281705948372,1.0
covertype,20,0.7795,0.8077441077441078,1.0
