dataset,n_estimators,test_accuracy,oob_accuracy,oob_coverage
covertype,1,0.658,0.6757668711656442,0.3658810325476992
covertype,10,0.7635,0.747538757496888,0.9918069584736251
covertype,20,0.78,0.7912223594118307,0.9998877665544332
covertype,30,0.787,0.8015712682379349,1.0
covertype,40,0.787,0.8090909090909091,1.0
covertype,50,0.7915,0.8179573512906846,1.0
covertype,60,0.7905,0.8205387205387206,1.0
covertype,70,0.79,0.8232323232323232,1.0
covertype,80,0.787,0.8228956228956229,1.0
covertype,90,0.7895,0.8212121212121212,1.0
covertype,100,0.7895,0.8224466891133558,1.0
covertype,110,0.793,0.8225589225589226,1.0
covertype,120,0.7935,0.8217732884399551,1.0
covertype,130,0.794,0.8202020202020202,1.0
covertype,140,0.792,0.8217732884399551,1.0
covertype,150,0.7895,0.8252525252525252,1.0
covertype,160,0.7905,0.8246913580246914,1.0
covertype,170,0.7895,0.825364758698092,1.0
covertype,180,0.791,0.8265993265993266,1.0
covertype,190,0.79,0.8262626262626263,1.0
covertype,200,0.79,0.8277216610549943,1.0
