dataset,fold,model,accuracy,f1_macro,auc_roc
adult,1,single_tree,0.8172791483263384,0.7512896339484447,0.7535249012903312
adult,1,adaboost,0.8526973078104207,0.7826434055255609,0.9062597165666362
adult,1,random_forest,0.8637526870713481,0.7993689379300044,0.9142210705182863
adult,1,sklearn_rf_reference,0.8518783908281298,0.7867055060026305,0.89920614391495
adult,2,single_tree,0.8157436789845429,0.7497376715894233,0.7525156158644128
adult,2,adaboost,0.8595557375371071,0.7882471190821507,0.9094364474810688
adult,2,random_forest,0.8681543658511618,0.8024113516340481,0.9193251423216201
adult,2,sklearn_rf_reference,0.8574060804585935,0.7920024060572556,0.9029334778738273
adult,3,single_tree,0.811015561015561,0.7435532215588525,0.746579787791801
adult,3,adaboost,0.8558558558558559,0.7841492787693267,0.9107124584834018
adult,3,random_forest,0.8628173628173628,0.7973479124657528,0.917834981847258
adult,3,sklearn_rf_reference,0.8509418509418509,0.7849867362552416,0.9014693272530329
adult,4,single_tree,0.8134725634725635,0.7465981903222821,0.7493428200117157
adult,4,adaboost,0.8575962325962326,0.7831622955200512,0.9143991214682136
adult,4,random_forest,0.8679361179361179,0.8045058152162985,0.9217518903191921
adult,4,sklearn_rf_reference,0.8592342342342343,0.7963812069450518,0.906709261937827
adult,5,single_tree,0.8131654381654382,0.7429577427725735,0.7425662263124555
adult,5,adaboost,0.8523751023751024,0.7794042777113915,0.9048575953111804
adult,5,random_forest,0.8618959868959869,0.7941017940320103,0.914519757780711
adult,5,sklearn_rf_reference,0.8503276003276004,0.7812164662154101,0.8996344172693156
