dataset,fold,model,accuracy,f1_macro,auc_roc
breast_cancer,1,single_tree,0.9210526315789473,0.9163609684519443,0.9182771044873895
breast_cancer,1,adaboost,0.9912280701754386,0.99062114356232,0.9970520799213888
breast_cancer,1,random_forest,0.9649122807017544,0.9629870129870131,0.9977071732721913
breast_cancer,1,sklearn_rf_reference,0.9649122807017544,0.9629870129870131,0.9968883065836882
breast_cancer,2,single_tree,0.8771929824561403,0.8680555555555556,0.864723223059286
breast_cancer,2,adaboost,0.9385964912280702,0.933693394266722,0.9918113331149689
breast_cancer,2,random_forest,0.9298245614035088,0.9238222519211494,0.9770717327219128
breast_cancer,2,sklearn_rf_reference,0.9298245614035088,0.9238222519211494,0.9772355060596135
breast_cancer,3,single_tree,0.9035087719298246,0.8958039052762775,0.8938492063492064
breast_cancer,3,adaboost,0.956140350877193,0.9521289997480473,0.9821428571428571
breast_cancer,3,random_forest,0.9649122807017544,0.9619111259605746,0.9884259259259259
breast_cancer,3,sklearn_rf_reference,0.9649122807017544,0.9619111259605746,0.9879298941798942
breast_cancer,4,single_tree,0.9210526315789473,0.9170641015277665,0.9275793650793649
breast_cancer,4,adaboost,0.9736842105263158,0.9721203228173148,1.0
breast_cancer,4,random_forest,0.956140350877193,0.9535338713621913,0.9945436507936508
breast_cancer,4,sklearn_rf_reference,0.9473684210526315,0.9444805194805195,0.9940476190476191
breast_cancer,5,single_tree,0.9292035398230089,0.9234417344173442,0.9193494299128102
breast_cancer,5,adaboost,0.9734513274336283,0.9711366538952746,0.9959758551307847
breast_cancer,5,random_forest,0.9646017699115044,0.9617208672086721,0.9901073105298458
breast_cancer,5,sklearn_rf_reference,0.9646017699115044,0.9617208672086721,0.9912810194500336
