component,cumulative_explained_variance
1,0.14809330265935253
2,0.254960146156879
3,0.3561131916910985
4,0.45334898654129335
5,0.5455923695988083
6,0.6308471978883234
7,0.6893875717603524
8,0.7197749670173468
9,0.7450130468507338
10,0.7662039105819869
11,0.7838806568593855
12,0.8008285559630793
13,0.8169411812206229
14,0.8314806708590479
15,0.845458426145878
16,0.857584566441201
17,0.8682381504518635
18,0.8780675467247379
19,0.8869037890038673
20,0.8950840090136959
21,0.9029936761018832
22,0.9106299697433469
23,0.9175820527835685
24,0.9234609142721562
25,0.9289193437801244
26,0.934137921237368
27,0.938865023764251
28,0.9432337998551265
29,0.9472177731964362
30,0.9511793330057651
31,0.9548919490721921
32,0.9584160159259368
33,0.9618269979382699
34,0.9650868020924832
35,0.9681704194162554
36,0.9712037622765121
37,0.9739395636812321
38,0.9764795578201628
39,0.9788781422570636
40,0.9811884860546747
41,0.9830559901158399
42,0.9847344389513273
43,0.9862566105532331
44,0.9877323373150181
45,0.988994089449166
46,0.9901776373991651
47,0.991215024740189
48,0.992065916751097
49,0.9928173522954571
50,0.9933544444859239
51,0.9938288535001661
52,0.9942832360108631
53,0.9947095798455675
54,0.9951003833640789
55,0.9954518024244268
56,0.9957919370216656
57,0.9961135516053043
58,0.9964206628591163
59,0.9967059879415672
60,0.9969829183047539
61,0.9972486792129146
62,0.9974809128293478
63,0.9976905737570648
64,0.9978800306857819
65,0.9980649446818325
66,0.9982472117308109
67,0.998414417363446
68,0.9985593298678138
69,0.9986995303126002
70,0.9988268617445217
71,0.9989410967286371
72,0.99903677993605
73,0.999131814054421
74,0.9992257340634667
75,0.999319010678204
76,0.9994099103663645
77,0.9994997148115248
78,0.999587046063708
79,0.9996731382707725
80,0.9997275727123854
81,0.9997755721428734
82,0.9998233067564108
83,0.9998708311629134
84,0.9999179130031242
85,0.9999629726566706
86,0.9999999999999999
87,0.9999999999999999
88,0.9999999999999999
89,0.9999999999999999
90,0.9999999999999999
91,0.9999999999999999
92,0.9999999999999999
93,0.9999999999999999
94,0.9999999999999999
95,0.9999999999999999
