component,cumulative_explained_variance
1,0.07338134166472471
2,0.13252817249172288
3,0.18046764026551904
4,0.22201185038691615
5,0.2533763819268413
6,0.28173310547666774
7,0.3072821795823908
8,0.33059422205391137
9,0.3526962725654776
10,0.37436177847581303
11,0.39579189757641514
12,0.4169855385150234
13,0.4380904578141524
14,0.45901256671809143
15,0.4797510576043974
16,0.5003213285055816
17,0.5208389485542573
18,0.5413003883361904
19,0.5617319955948871
20,0.5820943605091076
21,0.6024046386443157
22,0.6226984134441979
23,0.642908267727272
24,0.6630857769965298
25,0.6832424550615677
26,0.7033905685591929
27,0.7235230325201364
28,0.7436466921938817
29,0.763750621771383
30,0.7838460876726903
31,0.8039337573405634
32,0.8239939594913186
33,0.8440474142560086
34,0.8640957623885075
35,0.884122325410172
36,0.9035429254747587
37,0.9199818840631294
38,0.935624795224818
39,0.9483019577057566
40,0.9604120408879976
41,0.9692073060987662
42,0.9773233203312902
43,0.9836998787869928
44,0.9893557587596132
45,0.9944426340290975
46,0.9974535151978218
47,0.9999531001992216
48,0.9999999999999999
49,0.9999999999999999
50,0.9999999999999999
51,0.9999999999999999
52,0.9999999999999999
53,0.9999999999999999
54,0.9999999999999999
